id,tipo,acao,cidade,bairro,dorm,suite,vaga,preco,imobiliaria,data_scrapped
244,Casa,Venda,São José de Ribamar/MA,Alto Do Jaguarema,2,1,2,220000,Pereira Feitosa,23/06/2019
245,Casa,Venda,São Luís/MA,Cohatrac,5,1,4,380000,Pereira Feitosa,23/06/2019
246,Casa,Venda,São Luís/MA,Ipase,4,2,3,550000,Pereira Feitosa,23/06/2019
247,Apartamento,Venda,São Luís/MA,Olho D Água,6,4,4,1000000,Pereira Feitosa,23/06/2019
248,Apartamento,Venda,São Luís/MA,Jardim Renascença,2,1,2,530000,Pereira Feitosa,23/06/2019
249,Apartamento,Venda,São Luís/MA,Recanto Vinhais,3,0,1,300000,Pereira Feitosa,23/06/2019
250,Casa,Venda,São Luís/MA,Cohama,4,0,0,380000,Pereira Feitosa,23/06/2019
251,Casa,Venda,São Luís/MA,Centro,3,1,3,350000,Pereira Feitosa,23/06/2019
252,Apartamento,Venda,São Luís/MA,Jardim Renascença,3,1,2,450000,Pereira Feitosa,23/06/2019
253,Casa,Venda,São Luís/MA,Vinhais,3,1,0,445000,Pereira Feitosa,23/06/2019
254,Apartamento,Venda,São Luís/MA,Maiobinha,2,1,0,140000,Pereira Feitosa,23/06/2019
255,Casa,Venda,São Luís/MA,Cidade Operária,3,0,0,200000,Pereira Feitosa,23/06/2019
256,Apartamento,Venda,São José de Ribamar/MA,Araçagy,2,1,1,195000,Pereira Feitosa,23/06/2019
257,Casa,Venda,São Luís/MA,Centro,4,3,2,650000,Pereira Feitosa,23/06/2019
258,Casa,Venda,São José de Ribamar/MA,Araçagy,5,5,0,800000,Pereira Feitosa,23/06/2019
259,Apartamento,Venda,São Luís/MA,Jardim Renascença,4,4,3,2500000,Pereira Feitosa,23/06/2019
260,Apartamento,Venda,São Luís/MA,Jardim Renascença,3,1,0,720000,Pereira Feitosa,23/06/2019
